openalex_id,issn,issn_l,is_in_doaj,is_core,publisher_id,publisher
S1001185950,1757-5532,1757-5532,False,False,,
S1001185950,1757-5540,1757-5532,False,False,,
S174995744,1757-8515,1757-8515,False,False,,
S4210189194,1757-8981,1757-8981,False,False,P4310320083,IOP Publishing
S4210189194,1757-899X,1757-8981,False,False,P4310320083,IOP Publishing
S4210196699,1758-2067,1758-2067,False,False,P4310311721,Cambridge University Press
S77410870,1758-4299,1758-4302,False,True,P4310320547,Taylor & Francis
S77410870,1758-4302,1758-4302,False,True,P4310320547,Taylor & Francis
S125353052,1758-7360,1758-7360,False,True,P4310320017,SAGE Publishing
S4210219235,1758-8685,1758-8685,False,True,P4310311844,Winchester University Press
S112056897,1758-907X,1758-907X,False,True,P4310320256,BioMed Central
S2764595956,1759-0434,1759-0434,True,True,P4310319895,Open Library of Humanities
S2764854317,1759-667X,1759-667X,True,False,,
S9602430,1759-7153,1754-7431,False,True,P4310311648,Oxford University Press
S4210233922,1760-7507,1760-7507,False,False,P4310311504,UMR ESPACE et UMR LISST
S4306529271,1764-7223,1764-7223,False,False,P4310311084,Le Mans University
S2739146265,1774-7988,1774-7988,False,False,P4310311072,Groupe d’Etudes et de Recherches pour le Français Langue Internationale (GERFLINT)
S4210193416,1775-3783,2109-3016,True,False,P4310311248,"National Research Institute for Agriculture, Food and the Environment"
S4210172495,1775-397X,1775-397X,False,False,,
S4210231196,1777-5272,1777-5272,False,True,P4310311504,UMR ESPACE et UMR LISST
S4210223848,1778-3887,1778-3887,False,False,P4310311504,UMR ESPACE et UMR LISST
S160800360,1785-8860,1785-8860,False,True,P4310315431,Óbuda University
S4210189478,1788-2583,1788-2583,False,False,P4310320322,De Gruyter Open
S4210189478,1788-2591,1788-2583,False,False,P4310320322,De Gruyter Open
S2764714796,1790-7306,1790-7306,False,False,,
S4210199219,1791-325X,1791-325X,False,False,,
S85089674,1791-4027,1791-4027,False,False,P4310318070,Greek Center for Sport Science Research
S2738382975,1791-4914,1105-848X,True,False,P4310318064,EU European Publishing
S207270806,1791-6763,1108-393X,True,True,P4310318078,Hellenic Centre for Marine Research
S4210218929,1791-874X,1791-874X,False,True,,
S2739000471,1792-345X,1792-345X,True,False,P4310320322,De Gruyter Open
S2739000471,1792-362X,1792-345X,True,False,P4310320322,De Gruyter Open
S2737646863,1792-8036,1792-8036,True,False,P4310318068,"Engineering, Technology & Applied Science Research"
S44302498,1793-5288,1793-7140,False,True,P4310319815,World Scientific
S44302498,1793-7140,1793-7140,False,True,P4310319815,World Scientific
S2764477176,1793-8163,1793-8163,False,True,,
S2764689574,1793-8198,1793-8198,False,True,,
S2764532192,1793-821X,1793-821X,False,True,,
S4210235050,1793-8236,1793-8236,False,True,,
S2764524305,1793-8244,1793-8244,False,True,,
S2737069120,1794-192X,1794-192X,True,False,P4310318875,Universidad de San Buenaventura
S4306526406,1794-3108,1794-3108,True,False,P4310318894,National Police of Colombia
S4210220442,1794-6638,1794-6638,True,False,,
S2738625220,1794-8886,1794-8886,True,False,P4310318898,"Universidad del Norte, Colombia"
S4210176724,1794-8932,1794-8932,False,False,P4310318947,La Gran Colombia University
S2737967848,1794-9254,1794-9254,False,False,P4310318850,universidad javeriana
S2736638447,1795-7389,1795-7389,False,False,P4310317072,Finnish Society of Forest Science
S16006927,1796-2048,1796-2048,False,True,P4310318660,Academy Publisher
S189188848,1796-2056,1796-2056,False,True,P4310318660,Academy Publisher
S4210232123,1796-5551,1796-5551,False,False,,
S2738889447,1797-5301,0783-6104,True,False,,
S39277603,1798-2383,1239-629X,False,True,P4310317049,Finnish Academy of Science and Letters
S64717833,1798-4769,1798-4769,False,True,P4323972591,Academy Publication
S2764382321,1799-2591,1799-2591,False,False,P4323972591,Academy Publication
S4210172084,1799-8204,1799-8204,False,False,P4310317032,Sanovan Press
S4210232124,1800-7007,1800-7007,False,False,P4310321103,Institute for Montenegrin Language and Literature
S2739192383,1800-8755,1800-8763,True,True,P4310314850,Montenegrin Sports Academy
S2739192383,1800-8763,1800-8763,True,True,P4310314850,Montenegrin Sports Academy
S2764498445,1800-9492,0554-5579,True,False,P4310314853,University of Montenegro
S4210233064,1801-674X,1801-674X,True,False,,
S149074594,1801-7576,0001-7213,False,True,P4310314358,"University of Veterinary and Pharmaceutical Sciences, Brno"
S2738787081,1802-1115,1802-1115,False,True,P4310320322,De Gruyter Open
S2739373435,1802-8527,1802-8527,False,False,P4310314392,Faculty of Business and Management
S4210185935,1803-1617,1803-1617,True,False,P4310314200,Czech University of Life Sciences Prague
S1020627580,1803-4039,1803-4039,False,False,P4310314242,University of Chemistry and Technology
S109223824,1804-0462,0032-6585,False,True,P4310320322,De Gruyter Open
S4210185468,1804-0519,1804-0519,False,False,P4310314285,Prague Development Center
S4210185468,1804-0527,1804-0519,False,False,P4310314285,Prague Development Center
S4210222889,1804-1191,1804-1191,False,False,P4310314285,Prague Development Center
S2764962862,1804-1205,1804-1205,False,True,P4310314285,Prague Development Center
S2737563480,1804-1213,0452-599X,False,False,P4310320322,De Gruyter Open
S2764690960,1804-1884,1804-1884,False,True,P4310314285,Prague Development Center
S4210192013,1804-1930,1804-1930,False,True,P4310314200,Czech University of Life Sciences Prague
S2736817285,1804-2112,0572-3043,False,False,P4310314199,Prague University of Economics and Business
S4210188770,1804-3216,1804-3216,True,False,P4310320322,De Gruyter Open
S4210217247,1804-4158,1804-4158,False,False,P4310314277,European Institute of Applied Science and Management
S2738668026,1804-4824,1213-1962,True,False,P4310320322,De Gruyter Open
S4210222889,1804-4999,1804-1191,False,False,P4310314285,Prague Development Center
S2764962862,1804-5006,1804-1205,False,True,P4310314285,Prague Development Center
S2764690960,1804-5014,1804-1884,False,True,P4310314285,Prague Development Center
S2764434277,1804-5804,1804-5804,False,False,P4310314277,European Institute of Applied Science and Management
S2764740151,1804-5839,1804-5839,False,False,P4310314277,European Institute of Applied Science and Management
S2739275877,1804-6746,1804-6746,False,False,P4310314170,Vysoká škola PRIGO
S4210188993,1804-7890,1804-7890,False,False,,
S2739275877,1804-8285,1804-6746,False,False,P4310314170,Vysoká škola PRIGO
S2764740151,1804-9699,1804-5839,False,False,P4310314277,European Institute of Applied Science and Management
S2764434277,1804-9702,1804-5804,False,False,P4310314277,European Institute of Applied Science and Management
S4210217247,1804-9710,1804-4158,False,False,P4310314277,European Institute of Applied Science and Management
S4210188031,1805-0867,0524-6881,False,False,P4310314295,Masaryk University
S2764998707,1805-3602,1805-3602,False,False,P4362643768,Skripta S.r.o.
S2764472888,1805-4854,1805-4854,False,False,P4310314199,Prague University of Economics and Business
S2764472888,1805-4862,1805-4854,False,False,P4310314199,Prague University of Economics and Business
S2739347272,1805-5109,1805-5109,False,False,P4310320322,De Gruyter Open
S2739347272,1805-5117,1805-5109,False,False,P4310320322,De Gruyter Open
S4210169064,1805-6830,1805-6830,False,False,,
S4210186432,1805-7578,1805-7578,False,False,P4310314212,Czech Technical University in Prague - Central Library
S2738190797,1805-9171,1805-9171,False,False,P4310314188,Facta Medica
S2737676858,1805-9430,1211-3174,False,True,P4310320322,De Gruyter Open
