issn,issn_l,publisher
1313-8014,1313-8014,
1313-9495,1313-9495,
1313-9916,1313-9916,
1314-0213,1314-0213,
1314-3336,1314-3336,
1314-3344,1314-3336,
1314-5088,1314-5088,Association of Bulgarian Archaeologists |  Асоциация на българските археолози
1314-5703,1314-5703,
1314-751X,1314-751X,
1314-7587,1314-7587,"Hikari, Ltd"
1314-7617,1314-7617,"Hikari, Ltd"
1314-765X,1314-765X,"Hikari, Ltd"
1314-7684,1314-7684,"Hikari, Ltd"
1314-8710,0861-6663,"De Gruyter|Walter de Gruyter, Inc.|De Gruyter Open Sp. z o.o."
1314-8796,1314-8788,
1315-0162,1315-0162,
1315-401X,1315-401X,
1315-8392,1315-8392,
1315-8597,1315-8597,SciELO
1315-9518,1315-9518,
1315-9984,1315-9984,
1316-1369,1316-1369,
1316-5216,1316-5216,
1316-7138,1316-7138,
1317-987X,1317-987X,
1318-2927,1318-2927,
1319-4534,1319-4534,
1319-5166,1319-5166,
1319-562X,1319-562X,Elsevier
1320-3606,1320-3606,
1321-0122,1321-0122,
1321-8247,1321-8247,
1326-7612,1326-7612,
1330-0008,1330-0008,
1330-0016,1330-0016,
1330-0067,1330-0067,
1330-030X,1330-030X,
1330-2604,1330-2604,
1331-2294,1331-2294,
1331-677X,1331-677X,
1331-7768,1331-7768,
1333-4395,1333-4395,
1334-4676,1334-4676,znanost.org
1335-7522,1335-7522,
1336-1562,1336-1562,
1336-782X,1336-782X,
1336-9253,1336-5452,"Walter de Gruyter, Inc.|De Gruyter Open Sp. z o.o.|De Gruyter"
1337-0707,1337-0707,
1337-7477,1337-7477,
1337-7493,1337-7493,
1337-7590,1337-7590,
1338-0044,1338-0044,
1338-0230,1337-0960,
