title,publisher,issn,issn_l,issns,date_removed,reason
"Revista Fam\u00edlia, Ciclos de Vida e Sa\u00fade no Contexto Social",Federal University of Tri\u00e2ngulo Mineiro,2318-8413,2318-8413,2318-8413,2020-04-13,Web site URL no longer works
Temimin\u00f3s Revista Cient\u00edfica,Faculdade Cenecista da Ilha do Governador,2317-7764,2317-7764,2317-7764,2020-04-13,Web site URL no longer works
Education Sciences and Psychology,,1512-1801,1512-1801,1512-1801,2020-04-13,Journal not adhering to Best practice
Ciencia y Deporte,Universidad de Camag\u00fcey Ignacio Agramonte Loynaz,2223-1773,2223-1773,2223-1773,2020-04-11,Web site URL no longer works
Vegueta: Anuario de la Facultad de Geograf\u00eda e Historia,University of Las Palmas de Gran Canaria,1133-598X,1133-598X,1133-598X|2341-1112,2020-04-11,Journal not adhering to best practice
Revista Mundo Antigo,,2238-8788,2238-8788,2238-8788,2020-04-10,Ceased publishing
Revista Eletr\u00f4nica CoMtempo,,2176-6231,2176-6231,2176-6231,2020-04-10,Ceased publishing
Ef\u00edmera Revista,,2172-5934,2172-5934,2172-5934|2444-8524,2020-04-10,Ceased publishing
Medicina Narrativa,Pontifical Xavierian University,2027-7636,2027-7636,2027-7636,2020-04-10,Ceased publishing
Desarrollo Local Sostenible,Servicios Academicos Intercontinentales,1988-5245,1988-5245,1988-5245,2020-04-10,Journal not adhering to best practice
"Journal the Winners: Economics, Business, Management, and Information System Journal",Bina Nusantara University,1412-1212,1412-1212,1412-1212|2541-2388,2020-04-10,Journal not adhering to best practice
Buletin Penelitian Sistem Kesehatan,Airlangga University Press,1410-2935,1410-2935,1410-2935|2354-8738,2020-04-10,Journal not adhering to best practice
Muhandis\u012b-i Bihd\u0101sht-i Mu\u1e25\u012b\u1e6d,Alborz University of Medical Sciences,2588-4239,2383-3211,2383-3211|2588-4239,2020-04-09,Web site URL no longer works
Perspectives of Business Law Journal,Bucharest Academy of Economic Studies,2286-0649,2286-0649,2286-0649,2020-04-09,Ceased publishing
Revista Episteme Transversalis,,2236-2649,2236-2649,2236-2649,2020-04-09,Ceased publishing
Plura: Revista de Estudos de Religi\u00e3o,Associa\u00e7\u00e3o Brasileira de Hist\u00f3ria das Religi\u00f5es,2179-0019,2179-0019,2179-0019,2020-04-09,Web site URL no longer works
Journal of Cancer Research and Therapeutics,BioMed Central,0973-1482,1998-4138,0973-1482|1998-4138,2020-04-09,Journal is no longer Open Access
Securitologia,Collegium Civitas,2449-7436,1898-4509,1898-4509|2449-7436,2020-04-09,Web site URL no longer works
Historia Actual Online,University of C\u00e1diz,1696-2060,1696-2060,1696-2060,2020-04-09,Web site URL no longer works
Revista de Estudios Andaluces,Editorial Universidad de Sevilla,2340-2776,0212-8594,0212-8594|2340-2776,2020-04-09,Web site URL no longer works
\u00c9changes Linguistiques en Sorbonne,,2425-1526,2425-1526,2425-1526,2020-04-07,Ceased publishing
Revista Express\u00e3o Cat\u00f3lica,"Associa\u00e7\u00e3o Educacional e Cultural de Quixad\u00e1, Faculdade Cat\u00f3lica Rainha do Sert\u00e3o",2357-8483,2237-8782,2237-8782|2357-8483,2020-04-07,Web site URL no longer works
Asian Pacific Journal of Tropical Disease,Asian Pacific Journal of Tropical Disease Editorial Office,2222-1808,2222-1808,2222-1808,2020-04-07,Changed publisher but hasn't supplied new URLs/site
EPJ Nonlinear Biomedical Physics,EDP Sciences,2195-0008,2195-0008,2195-0008,2020-04-07,Ceased publishing
Aviation in Focus,Editora da Pontif\u00edcia Universidade Cat\u00f3lica do Rio Grande do Sul (EDIPUCRS),2179-703X,2179-703X,2179-703X,2020-04-07,Ceased publishing
Andererseits,Duke University Libraries,2162-9242,2162-9242,2162-9242|2941-735X,2020-04-07,Ceased publishing
Universitas (Le\u00f3n),Editorial Universitaria UNAN Le\u00f3n,2311-6072,2071-257X,2071-257X|2311-6072,2020-04-07,Ceased publishing
"Annals of Academy of Romanian Scientists Series on Philosophy, Psychology, Theology and Journalism",,2067-5690,2067-113X,2067-113X|2067-5690,2020-04-07,Ceased publishing
Sess\u00f5es do Imagin\u00e1rio,Editora da Pontif\u00edcia Universidade Cat\u00f3lica do Rio Grande do Sul (EDIPUCRS),1980-3710,1516-9294,1516-9294|1980-3710,2020-04-07,Ceased publishing
Trabajos de Geologia,Ediuno (Ediciones de la Universidad de Oviedo),1988-5172,0474-9588,0474-9588|1988-5172,2020-04-07,Ceased publishing
Revista Cubana de Farmacia,Editorial Ciencias M\u00e9dicas,1561-2988,0034-7515,0034-7515|1561-2988,2020-04-07,Ceased publishing
Revista Insiet,,2447-892X,2447-892X,2447-892X,2020-04-06,Ceased publishing
Revista Internacional de Investigaci\u00f3n y Docencia,,2445-1711,2445-1711,2445-1711,2020-04-06,Ceased publishing
International Journal of Research and Education,APRE,2398-3760,2398-3760,2398-3760,2020-04-06,Ceased publishing
Revista Internacional de Investigaci\u00f3n e Innovaci\u00f3n en Did\u00e1ctica de las Humanidades y las Ciencias,Asociaci\u00f3n Did\u00e1cticas Espec\u00edficas,2386-7795,2386-7795,2386-7795,2020-04-06,Ceased publishing
Andrews University Seminary Student Journal,Andrews University,2376-063X,2376-0621,2376-0621|2376-063X,2020-04-06,Ceased publishing
Giramundo,Col\u00e9gio Pedro II,2358-4467,2358-4467,2358-4467|2358-7067,2020-04-06,Ceased publishing
Kerala Heart Journal,"Cardiological Society of India, Kerala Chapter",2454-6755,2347-5269,2347-5269|2454-6755,2020-04-06,Ceased publishing
Littera Aperta,Cultural Association Littera Aperta,2341-0663,2341-0663,2341-0663,2020-04-06,Ceased publishing
African East-Asian Affairs the China Monitor,Centre for Chinese Studies,2308-8699,2308-8699,2308-8699,2020-04-06,Ceased publishing
"Optofluidics, Microfluidics and Nanofluidics",De Gruyter Open,2300-7435,2300-7435,2300-7435,2020-04-06,Ceased publishing
Sample Preparation,De Gruyter Open,2299-677X,2299-677X,2299-677X,2020-04-06,Ceased publishing
Riparian Ecology and Conservation,De Gruyter Open,2299-1042,2299-1042,2299-1042,2020-04-06,Ceased publishing
"Journal of Endoscopic and Minimally Invasive Surgery in Newborn, Children and Adolescent",,2283-7116,2283-7116,2283-7116,2020-04-06,Ceased publishing
Revista Venezolana de Ciencia y Tecnolog\u00eda de Alimentos,Asociaci\u00f3n Revista Venezolana de Ciencia y Tecnolog\u00eda de Alimentos,2218-4384,2218-4384,2218-4384,2020-04-06,Ceased publishing
Psicologia: Ensino & Forma\u00e7\u00e3o,Associa\u00e7\u00e3o Brasileira de Ensino de Psicologia,2179-5800,2177-2061,2177-2061|2179-5800,2020-04-06,Ceased publishing
Levantine Review,Boston College Libraries,2164-6678,2164-6678,2164-6678,2020-04-06,Ceased publishing
Spirakel,National Institute of Health Research and Development,2354-8819,2086-1346,2086-1346|2354-8819,2020-04-06,Ceased publishing
Peptidomics,De Gruyter Open,2084-7203,2084-7203,2084-7203,2020-04-06,Ceased publishing
Mechanics and Control,Wydawnictwa AGH,2300-7079,2083-6759,2083-6759|2300-7079,2020-04-06,Ceased publishing
Ekonom\u00ec\u010dna K\u00ecbernetika,,2312-5837,2077-8031,2077-8031|2312-5837,2020-04-06,Ceased publishing
Revista Polic\u00eda y Seguridad P\u00fablica,Academia Nacional de Seguridad P\u00fablica,2225-5648,2073-2759,2073-2759|2225-5648|2523-6245,2020-04-06,Ceased publishing
Translation Studies: Retrospective and Prospective Views,,2501-0778,2065-3514,2065-3514|2501-0778,2020-04-06,Ceased publishing
International Journal of Cyber Society and Education,Academy of Taiwan Information Systems Research,1995-6649,1995-6649,1995-6649|2410-857X,2020-04-06,Ceased publishing
Revista Iara,,1983-7836,1983-7836,1983-7836,2020-04-06,Ceased publishing
Bolet\u00edn de la Asociaci\u00f3n para el Fomento de los Estudios Hist\u00f3ricos en Centroam\u00e9rica,,1954-3891,1954-3891,1954-3891,2020-04-06,Ceased publishing
Tidsskriftet Arkiv,ABM-Media,1891-8107,1891-8107,1891-8107,2020-04-06,Ceased publishing
Econom\u00eda Espa\u00f1ola y Protecci\u00f3n Social,"Asociaci\u00f3n de Actuarios, Estad\u00edsticos y Economistas de la Seguridad Social",2386-379X,1889-5956,1889-5956|2386-379X,2020-04-06,Ceased publishing
HYLA: Herpetological Bulletin,,1848-2007,1848-2007,1848-2007|1849-3505,2020-04-06,Ceased publishing
Universitas Ci\u00eancias da Sa\u00fade,Centro Universit\u00e1rio de Bras\u00edlia,1981-9730,1678-5398,1678-5398|1981-9730,2020-04-06,Ceased publishing
Ankara Universitesi Egitim Bilimleri Fakultesi Ozel Egitim Dergisi,Ankara University,2149-8261,1304-7639,1304-7639|2149-8261,2020-04-06,Ceased publishing
Capic Review,Conferencia Acad\u00e9mica Permanente de Investigaci\u00f3n Contable (CAPIC),0718-4662,0718-4654,0718-4654|0718-4662,2020-04-06,Ceased publishing
Geoacta,,1852-7744,0326-7237,0326-7237|1852-7744|2250-8961,2020-04-06,Ceased publishing
AIMS Cell and Tissue Engineering,American Institute of Mathematical Sciences,2574-0105,2574-0105,2574-0105,2020-04-03,Ceased publishing
Teosofi,Universitas Islam Negeri Sunan Ampel Surabaya,2088-7957,2088-7957,2088-7957|2442-871X,2020-04-03,Journal not adhering to best practice
Musikterapi i psykiatrien online,Aalborg University Press,2245-3342,2245-3342,2245-3342,2020-04-02,Ceased publishing
\u0412\u0456\u0441\u043d\u0438\u043a \u0427\u0435\u0440\u043a\u0430\u0441\u044c\u043a\u043e\u0433\u043e \u0443\u043d\u0456\u0432\u0435\u0440\u0441\u0438\u0442\u0435\u0442\u0443: \u0421\u0435\u0440\u0456\u044f: \u0415\u043a\u043e\u043d\u043e\u043c\u0456\u0447\u043d\u0456 \u043d\u0430\u0443\u043a\u0438,,2076-5843,2076-5843,2076-5843|2518-1335,2020-03-29,Journal not adhering to Best practice
The Albatross,University of Victoria,1927-4599,1927-4599,1927-4599,2020-03-25,Journal not adhering to best practice
Clinical Medicine Insights: Women's Health,SAGE Publishing,1179-562X,1179-562X,1179-562X,2020-03-25,Ceased publishing
"Clinical Medicine Insights: Ear, Nose and Throat",SAGE Publishing,1179-5506,1179-5506,1179-5506,2020-03-25,Ceased publishing
International Journal of Insect Science,SAGE Publishing,1179-5433,1179-5433,1179-5433,2020-03-25,Ceased publishing
Biochemistry Insights,SAGE Publishing,1178-6264,1178-6264,1178-6264,2020-03-25,Ceased publishing
Biomedical Informatics Insights,SAGE Publishing,1178-2226,1178-2226,1178-2226,2020-03-25,Ceased publishing
Integrative Medicine Insights,SAGE Publishing,1177-3936,1177-3936,1177-3936,2020-03-25,Ceased publishing
Al-Hayat: Journal of Islamic Education,,2599-3046,2599-3046,2599-3046|2657-1781,2020-03-24,Journal not adhering to Best practice
Perinatologi\u00e2 i Pediatri\u00e2,"Group of Companies Med Expert, LLC",1992-5891,1992-5891,1992-5891|2412-4613,2020-03-24,Ceased publishing
Biotechnology Research & Innovation,Elsevier BV,2452-0721,2452-0721,2452-0721,2020-03-20,Changed publisher but hasn't supplied new URLs/site
Journal of Computational Design and Engineering,Oxford University Press,2288-4300,2288-4300,2288-4300|2288-5048,2020-03-20,Changed publisher but hasn't supplied new URLs/site
Biochimie Open,Elsevier BV,2214-0085,2214-0085,2214-0085,2020-03-20,Ceased publishing
Cureus,"Cureus, Inc.",2168-8184,2168-8184,2168-8184,2020-03-17,Journal not adhering to Best practice
International Journal of e-Navigation and Maritime Economy,Elsevier BV,2405-5352,2405-5352,2405-5352,2020-03-16,Web site URL no longer works
Royal Studies Journal,Winchester University Press,2057-6730,2057-6730,2057-6730,2020-03-16,Journal not adhering to best practice
Jurnal Komunikasi,University of Trunojoyo Madura,1978-4597,1978-4597,1978-4597|2549-4902,2020-03-16,Journal not adhering to best practice
"Bulletin of Faculty of Pharmacy, Cairo University",,1110-0931,1110-0931,1110-0931|2090-9101,2020-03-16,Web site URL no longer works
Life Research,,2624-0548,2624-0548,2624-0548,2020-03-13,Journal not adhering to Best practice
TMR Theory and Hypothesis,,2538-130X,2538-130X,2538-130X,2020-03-13,Journal not adhering to Best practice
TMR Non-Drug Therapy,,2538-0583,2538-0583,2538-0583,2020-03-13,Journal not adhering to Best practice
TMR Cancer,,2538-015X,2538-015X,2538-015X,2020-03-13,Journal not adhering to Best practice
TMR Modern Herbal Medicine,,2537-9798,2537-9798,2537-9798,2020-03-13,Journal not adhering to Best practice
TMR Integrative Nursing,,2522-6371,2522-6371,2522-6371,2020-03-13,Journal not adhering to Best practice
TMR Integrative Medicine,,2521-3415,2521-3415,2521-3415,2020-03-13,Journal not adhering to Best practice
Arhitekton,Architecton,1990-4126,1990-4126,1990-4126,2020-03-12,Journal not adhering to best practice
Journal of Health Sciences (Radom),,2300-665X,2300-665X,2300-665X|2392-2737,2020-03-10,Web site URL no longer works
Journal of Franco-Irish Studies,,2009-7395,2009-7395,2009-7395,2020-03-10,Journal not adhering to best practice
Sodality: Jurnal Sosiologi Pedesaan,Bogor Institute of Agriculture,2302-7517,2302-7517,2302-7517|2302-7525,2020-03-09,Journal not adhering to Best practice
Updating Medicina del Lavoro,,2283-9917,2283-9917,2283-9917,2020-03-09,Inactive (not published since 2018)
Indonesian Journal of Clinical Pharmacy,Padjadjaran University,2252-6218,2252-6218,2252-6218|2337-5701,2020-03-09,Journal not adhering to Best practice
"Sodality: Jurnal Transdisiplin Sosiology, Komunikasi dan Ekologi Manusia",,1978-4333,1978-4333,1978-4333,2020-03-09,Journal not adhering to Best practice
Media Konservasi,Bogor Institute of Agriculture,0215-1677,0215-1677,0215-1677|2502-6313,2020-03-09,Journal not adhering to Best practice
Did\u00e1ctica Geogr\u00e1fica,Q16572876,0210-492X,0210-492X,0210-492X|2174-6451,2020-03-08,Inactive (not published since 2018)
Acervo,Brazilian National Archives,0102-700X,0102-700X,0102-700X|2237-8723,2020-03-06,Journal not adhering to Best practice
Perspectives in Science,Elsevier BV,2213-0209,2213-0209,2213-0209,2020-02-28,Ceased publishing
WIMJ Open,University of the West Indies,0799-3889,0799-3889,0799-3889,2020-02-28,Inactive
\u0130ran \u00c7al\u0131\u015fmalar\u0131 Dergisi,,2536-5029,2536-5029,2536-5029,2020-02-27,Journal not adhering to Best practice
Online T\u00fcrk Sa\u011fl\u0131k Bilimleri Dergisi,Sakarya University,2459-1467,2459-1467,2459-1467,2020-02-27,Journal not adhering to Best practice
International Journal of Educational Research Review,Sakarya University,2458-9322,2458-9322,2458-9322,2020-02-27,Journal not adhering to Best practice
Diritto Civile Contemporaneo,Diritto Civile Contemporaneo,2384-8537,2384-8537,2384-8537,2020-02-27,Web site URL no longer works
Journal of Tethys,Journal of Tethys,2345-2471,2345-2471,2345-2471|2476-7190,2020-02-27,Web site URL no longer works
Revista Feminismos,Universidade Federal da Bahia,2317-2932,2317-2932,2317-2932,2020-02-27,Web site URL no longer works
Economic Processes Management,Sumy State University,2311-6293,2311-6293,2311-6293,2020-02-27,Inactive (not published since 2017)
International Journal of Islamic Economics and Finance Studies,Sakarya University,2149-8393,2149-8393,2149-8393|2149-8407,2020-02-27,Journal not adhering to Best practice
Journal of Military and Information Science,Sakarya University,2148-3124,2148-3124,2148-3124,2020-02-27,Journal not adhering to Best practice
Journal of Balkan Libraries Union,Trakya University,2148-9823,2148-077X,2148-077X|2148-9823,2020-02-27,Web site URL no longer works
T\u00fcrkiye Ortado\u011fu \u00c7al\u0131\u015fmalar\u0131 Dergisi,Sakarya University,2147-7523,2147-7523,2147-7523|2630-5631,2020-02-27,Journal not adhering to Best practice
Fitosanidad,Instituto de Investigaciones de Sanidad Vegetal,1818-1686,1562-3009,1562-3009|1818-1686,2020-02-27,Web site URL no longer works
\u00c7ank\u0131r\u0131 Karatekin \u00dcniversitesi \u0130ktisadi ve \u0130dari Bilimler Fak\u00fcltesi Dergisi,\u00c7ank\u0131r\u0131 Karatekin University,1308-5549,1308-5549,1308-5549|2147-4206,2020-02-27,Inactive (not published since 2016)
Akademik lncelemeler Dergisi,,1306-7885,1306-7885,1306-7885|2602-3016,2020-02-27,Journal not adhering to Best practice
Sakarya \u00dcniversitesi \u0130lahiyat Fak\u00fcltesi Dergisi,Sakarya University,2146-9806,1304-6535,1304-6535|2146-9806,2020-02-27,Journal not adhering to Best practice
Sakarya University Journal of Science,Sakarya University,1301-4048,1301-4048,1301-4048|2147-835X,2020-02-27,Journal not adhering to Best practice
H-ermes: Journal of Communication,University of La Serena,0716-7520,0716-7520,0716-7520|0719-3262,2020-02-27,Web site URL no longer works
Transgender Health,"Mary Ann Liebert, Inc.",2380-193X,2380-193X,2380-193X|2688-4887,2020-02-26,Journal is no longer Open Access
Intellectual Discourse,"IIUM Press, International Islamic University Malaysia",0128-4878,0128-4878,0128-4878|2289-5639,2020-02-26,Journal doesn't adhere to best practice
Pravova\u00e2 Iniciativa,Alexander Galushkin Publishing House,2304-5655,2304-5655,2304-5655,2020-02-24,Inactive (has not published in the last calendar year)
South China Fisheries Science,,2095-0780,2095-0780,2095-0780,2020-02-24,Web site URL no longer works
Challenges of Modern Technology,Foundation for Young Scientists,2082-2863,2082-2863,2082-2863|2353-4419,2020-02-24,Web site URL no longer works
"Analele Universit\u0103\u0163ii Cre\u015ftine \u201eDimitrie Cantemir\u201d, Seria Istorie \u2013 Serie nou\u0103",,1584-3343,1584-3343,1584-3343|2068-3758|2068-3766,2020-02-24,Inactive (has not published in the last calendar year)
Journal on Best Teaching Practices,,2373-8154,2373-8154,2373-8154,2020-02-23,Inactive (has not published in the last calendar year)
Journal of Asean Studies,Bina Nusantara University,2338-1361,2338-1353,2338-1353|2338-1361,2020-02-23,Web site URL no longer works
Journal of Metallomics and Nanotechnologies,,2336-3940,2336-3940,2336-3940,2020-02-23,Ceased publishing
"Educade: Revista de Educaci\u00f3n en Contabilidad, Finanzas y Administraci\u00f3n de Empresas",AECA,2173-478X,2173-478X,2173-478X,2020-02-23,Inactive (has not published in the last calendar year)
Universitas: Rela\u00e7\u00f5es Internacionais,Centro Universit\u00e1rio de Bras\u00edlia,1807-2135,1807-2135,1807-2135|1982-0720,2020-02-23,Ceased publishing
"Revista de Derecho, Comunicaciones y Nuevas Tecnolog\u00edas",universidad javeriana,1909-7786,1794-9254,1794-9254|1909-7786,2020-02-23,Ceased publishing
Journal of Shahrekord University of Medical Sciences,Shahrekord University of Medical Sciences,2228-7469,1735-1448,1735-1448|2228-7469,2020-02-23,Inactive (has not published in the last calendar year)
Revista de Derecho Privado,Universidad de Los Andes,0121-0696,0121-0696,0121-0696|1909-7794,2020-02-23,Ceased publishing
Archives of Biomedical Sciences,,2300-7257,2300-7257,2300-7257,2020-02-22,Ceased publishing
Studies in English Language and Education,University of Syiah Kuala,2355-2794,2355-2794,2355-2794|2461-0275,2020-02-21,Journal not adhering to Best practice
Cakra Kimia,Udayana University,2302-7274,2302-7274,2302-7274,2020-02-21,Journal not adhering to Best practice
International Journal of Assessment Tools in Education,International Journal of Assessment Tools in Education,2148-7456,2148-7456,2148-7456,2020-02-21,Journal not adhering to Best practice
applied psychological research journal,Coventry University,2057-570X,2057-570X,2057-570X,2020-02-21,Inactive (has not published in the last calendar year)
E-Jurnal Kajian Budaya,,2302-7304,1693-8453,1693-8453|2302-7304,2020-02-21,Inactive (has not published in the last calendar year)
Chinese Librarianship: An International Electronic Journal,Internet Chinese Librarians Club,1089-4667,1089-4667,1089-4667,2020-02-21,Inactive (has not published in the last calendar year)
Russian Academic Journal,SRI Institute of Political and Mediametric Studies IPMS,2410-146X,2410-146X,2410-146X|2413-0850,2020-02-20,Website URLs no longer work
Journal of Education in New Century,New Century Science Press Limited,2372-6539,2330-9121,2330-9121|2372-6539,2020-02-20,Inactive (has not published in the last calendar year)
Revista Cr\u00edtica de Historia de las Relaciones Laborales y de la Pol\u00edtica Social,EUMED.NET,2173-0822,2173-0822,2173-0822|2386-6039,2020-02-20,Journal not adhering to Best practice
"H-industri@: Revista de Historia de la Industria, los Servicios y las Empresas en Am\u00e9rica Latina",University of Buenos Aires,1851-703X,1851-703X,1851-703X|1853-550X,2020-02-19,Website URLs no longer work
Aspirator: Journal of Vector Borne Diseases Studies,"Ministry of Health of Indonesia, National Institute of Health Research and Development, Unit of Vector Borne Diseases Control, C",2085-4102,2085-4102,2085-4102|2338-7343,2020-02-17,Journal not adhering to Best practice
Brazilian Journal of Physical Therapy,Elsevier BV,1413-3555,1413-3555,1413-3555|1809-9246,2020-02-17,Journal is no longer Open Access
GERMS,European HIV/AIDS and Infectious Diseases Academy,2248-2997,2248-2997,2248-2997,2020-02-13,Journal not adhering to Best practice
Global Journal of Psychological Research,New Century Science Press Limited,2330-913X,2330-913X,2330-913X|2334-2021,2020-02-12,Ceased publishing
Global Journal of Geriatrics Nursing,New Century Science Press Limited,2309-303X,2309-303X,2309-303X|2375-4079,2020-02-12,Ceased publishing
Istanbul Gelisim University Journal of Social Sciences,Istanbul Gelisim University Press,2148-4287,2148-4287,2148-4287|2148-7189,2020-02-10,Journal not adhering to Best practice
Al-Idarah: Jurnal Kependidikan Islam,UIN Raden Intan Lampung,2580-2453,2086-6186,2086-6186|2580-2453,2020-02-10,Journal not adhering to Best practice
Arab Journal of Mathematical Sciences,Elsevier BV,1319-5166,1319-5166,1319-5166|2588-9214,2020-02-10,Changed publisher but hasn't supplied new url:s/site
Turkish Studies,ASOS E\u011fitim Bili\u015fim Dan\u0131\u015fmanl\u0131k,1308-2140,1308-2140,1308-2140,2020-02-10,Journal not adhering to Best practice
Educational Technology & Society,IEEE Computer Society,1176-3647,1176-3647,1176-3647|1436-4522,2020-02-10,Journal not adhering to Best practice
Journal of the Saudi Heart Association,Elsevier BV,1016-7315,1016-7315,1016-7315|2212-5043,2020-02-10,Changed publisher but hasn't supplied new url:s/site
Revista Brasileira de Farmacognosia,Springer Science+Business Media,0102-695X,0102-695X,0102-695X|1981-528X,2020-02-10,Journal is no longer Open Access
Business Research Quarterly,SAGE Publishing,2340-9436,2340-9436,2340-9436|2340-9444,2020-02-07,Ceased publishing
Signum Temporis: Journal of Research in Pedagogy and Psychology,De Gruyter Open,1691-4929,1691-4929,1691-4929|2199-5931,2020-02-07,Changed publisher but hasn't supplied new url:s/site
Zeithistorische Forschungen,Vandenhoeck & Ruprecht,1612-6033,1612-6033,1612-6033|1612-6041,2020-02-07,Journal is no longer Open Access
Asian Exercise and Sport Science Journal,,2588-4832,2588-4832,2588-4832,2020-02-06,Journal not adhering to Best practice
International Journal of Applied Exercise Physiology,Asian Exercise and Sport Science Association,2322-3537,2322-3537,2322-3537,2020-02-06,Journal not adhering to Best practice
Bulletin of Environmental Studies,,2414-8121,2414-8121,2414-8121|2518-458X,2020-02-05,Website URLs no longer work
Atlas Journal of Biology,"Atlas Publishing, LP",2158-9151,2158-9151,2158-9151,2020-02-05,Journal not adhering to Best practice
Journal of Vascular Diagnostics,Dove Medical Press,2324-3430,2324-3430,2324-3430,2020-01-29,Ceased publishing
Nano Reviews & Experiments,Taylor & Francis,2002-2727,2002-2727,2002-2727,2020-01-29,Ceased publishing
Pathobiology of Aging & Age-related Diseases,Taylor & Francis,2001-0001,2001-0001,2001-0001,2020-01-29,Ceased publishing
Socioaffective Neuroscience & Psychology,Taylor & Francis,2000-9011,2000-9011,2000-9011,2020-01-29,Ceased publishing
Nano Reviews,Taylor & Francis,2000-5121,2000-5121,2000-5121,2020-01-29,Ceased publishing
Language at Work : Bridging Theory and Practice,Aarhus University,1904-030X,1902-0465,1902-0465|1904-030X,2020-01-29,Ceased publishing
Clinical Lipidology,Taylor & Francis,1758-4302,1758-4302,1758-4299|1758-4302,2020-01-29,Ceased publishing
Revista Brasilera de Coloproctologia,Cidade Editora Cient\u00edfica Ltda,0101-9880,0101-9880,0101-9880|1980-5446,2020-01-29,Ceased publishing
Jurnal Kajian Bali,Udayana University,2088-4443,2088-4443,2088-4443|2580-0698,2020-01-27,Journal not adhering to Best practice
Fibonacci: Jurnal Pendidikan Matematika dan Matematika,Muhammadiyah University of Jakarta,2460-7797,2460-7797,2460-7797|2614-8234,2020-01-20,Journal not adhering to Best practice
"Problemi Teor\u00ec\u00ef ta Metodolog\u00ec\u00ef Buhgalters\u02b9kogo Obl\u00ecku, Kontrol\u00fb \u00ec Anal\u00eczu",Zhytomyr State University of Technology,1994-1749,1994-1749,1994-1749|2708-4957,2020-01-17,Journal not adhering to Best practice
V\u00ecsnik \u017ditomirs\u02b9kogo Der\u017eavnogo Tehnolog\u00ec\u010dnogo Un\u00ecversitetu: Tehn\u00ec\u010dn\u00ec Nauki,Zhytomyr State Technological University,1728-4260,1728-4260,1728-4260|2522-1779,2020-01-17,Journal not adhering to Best practice
International Journal of Innovation,Universidade Nove de Julho,2318-9975,2318-9975,2318-9975,2020-01-15,Journal not adhering to Best practice
Revista Ibero-Americana de Estrat\u00e9gia,Universidade Nove de Julho,2176-0756,2176-0756,2176-0756,2020-01-15,Journal not adhering to Best practice
World Rabbit Science,Technical University of Valencia,1257-5011,1257-5011,1257-5011|1989-8886,2020-01-15,Journal not adhering to Best practice
Anales de Filolog\u00eda Cl\u00e1sica,,0325-1721,0325-1721,0325-1721|2362-4841,2020-01-15,Journal not adhering to Best practice
ASRO Journal of Applied Mechanics,Academic and Scientific Research Organization (ASRO),2519-5344,2519-5344,2519-5344,2020-01-14,Ceased publishing
Future Computing and Informatics Journal,Elsevier BV,2314-7296,2314-7288,2314-7288|2314-7296,2020-01-14,Changed publisher but hasn't supplied new url:s/site
Journal of Global Entrepreneurship Research,Springer Science+Business Media,2251-7316,2228-7566,2228-7566|2251-7316,2020-01-14,Journal is no longer Open Access
Visualization in Engineering,Springer Nature,2213-7459,2213-7459,2213-7459,2020-01-14,Ceased publishing
Agriculture & Food Security,BioMed Central,2048-7010,2048-7010,2048-7010,2020-01-14,Ceased publishing
Psychology Science Quarterly,Pabst Science Publishers,1866-6140,1866-6140,1866-6140,2020-01-14,Ceased publishing
Psychology Science,Pabst Science Publishers,1614-9947,1614-9947,1614-9947,2020-01-14,Ceased publishing
Asia Pacific Family Medicine,BioMed Central,1447-056X,1444-1683,1444-1683|1447-056X,2020-01-14,Changed publisher but hasn't supplied new url:s/site
Brazilian Journal of Development,Brazilian Journal of Development,2525-8761,2525-8761,2525-8761,2020-01-13,Journal not adhering to Best practice
Journal of Theoretical and Applied Physics,Springer Science+Business Media,2251-7235,2251-7227,2251-7227|2251-7235,2020-01-10,Journal is no longer Open Access
International Journal of Industrial Chemistry,Springer Science+Business Media,2228-5547,2228-5547,2228-5547|2228-5970,2020-01-10,Journal is no longer Open Access
Progress in Biomaterials,Springer Nature,2194-0517,2194-0517,2194-0509|2194-0517,2020-01-10,Journal is no longer Open Access
International Nano Letters,Springer Science+Business Media,2228-5326,2008-9295,2008-9295|2228-5326,2020-01-10,Journal is no longer Open Access
Journal of Nanostructure in Chemistry,Springer Nature,2193-8865,2008-9244,2008-9244|2193-8865,2020-01-10,Journal is no longer Open Access
International Journal of Energy and Environmental Engineering,Springer Nature,2251-6832,2008-9163,2008-9163|2251-6832,2020-01-10,Journal is no longer Open Access
Mathematical Sciences,Springer Science+Business Media,2251-7456,2008-1359,2008-1359|2251-7456,2020-01-10,Journal is no longer Open Access
Open Access Journal of Urology,Dove Medical Press,1179-1551,1179-1551,1179-1551,2020-01-10,Ceased publishing
Annals of Emerging Technologies in Computing,International Association for Educators and Researchers (IAER),2516-0281,2516-0281,2516-0281|2516-029X,2020-01-08,Journal not adhering to Best practice
Klinische Pflegeforschung,,2365-7863,2365-7863,2365-7863,2020-01-02,Ceased publishing
Drug Safety - Case Reports,"Adis, Springer Healthcare",2198-977X,2199-1162,2198-977X|2199-1162,2020-01-02,Ceased publishing
Multiple Sclerosis and Demyelinating Disorders,BioMed Central,2056-6115,2056-6115,2056-6115,2020-01-02,Ceased publishing
